transaction_amount,hour_of_day,day_of_week,transaction_count_24h,avg_transaction_amount_30d,deviation_from_avg,unique_recipients_24h,is_new_recipient,is_anomaly
42255.29,18,4,2,82148.39,-0.4856,2,0,0
175319.59,14,5,2,41023.25,3.2736,1,0,0
117704.41,2,4,2,42239.04,1.7866,5,0,0
448395.57,20,1,4,71328.08,5.2863,1,0,0
784695.67,3,6,5,26736.98,28.3476,2,0,0
381860.4,0,5,4,94166.24,3.0551,3,1,0
26621.07,10,4,2,75252.17,-0.6462,1,0,0
74071.63,17,4,2,28668.75,1.5837,1,0,0
9974.47,5,4,4,253604.27,-0.9607,2,0,0
416473.82,9,6,2,53274.93,6.8173,3,0,0
74039.41,9,5,2,36886.18,1.0072,2,0,0
31655.76,2,6,0,184363.58,-0.8283,0,0,0
275201.73,21,4,3,8839.09,30.1312,1,1,0
3490.15,5,6,1,7475.12,-0.533,0,1,0
212570.4,9,0,2,19720.09,9.7789,1,0,0
48568.99,16,3,3,32218.53,0.5075,1,0,0
60692.72,16,6,1,49901.86,0.2162,2,0,0
691606.57,16,0,2,16501.24,40.9099,2,0,0
31288.05,20,3,4,42652.91,-0.2664,1,0,0
39080.07,10,6,1,12669.63,2.0844,1,0,0
151339.9,10,2,3,18573.62,7.1477,1,0,0
89853.8,10,4,4,77417.53,0.1606,0,0,0
16868.1,17,0,1,167211.21,-0.8991,2,0,0
142625.91,12,0,1,57113.67,1.4972,2,0,0
21784.55,22,0,2,11430.86,0.9057,3,0,0
45428.52,20,3,6,79711.44,-0.4301,3,0,0
22990.83,15,6,2,13904.97,0.6534,2,0,0
81993.94,4,2,4,54469.83,0.5053,4,1,0
14843.97,2,3,4,23310.05,-0.3632,1,0,0
164643.31,5,5,3,30848.6,4.337,0,0,0
122490.87,1,0,2,182157.2,-0.3276,1,0,0
14869.39,0,5,7,22359.5,-0.335,1,0,0
16270.64,22,2,3,39275.75,-0.5857,0,0,0
127140.88,22,0,6,255602.98,-0.5026,2,0,0
18216.02,22,6,3,123633.19,-0.8527,0,0,0
94761.02,5,1,5,21375.18,3.4331,2,0,0
131544.51,15,3,3,21648.22,5.0762,0,0,0
321433.08,9,5,0,74286.77,3.3269,0,0,0
108969.92,2,4,2,128606.44,-0.1527,2,0,0
48834.52,3,0,0,132063.63,-0.6302,3,1,0
42512.47,13,4,3,12378.4,2.4342,1,0,0
396852.14,5,6,4,33802.43,10.74,4,0,0
20711.65,8,5,6,151922.1,-0.8637,1,0,0
4914.68,1,6,5,37449.55,-0.8687,1,0,0
58288.8,14,1,4,4924.3,10.8348,2,0,0
492089.38,21,5,2,55784.04,7.8212,0,0,0
176287.02,18,2,1,23227.66,6.5892,0,0,0
10253.79,16,2,2,39979.24,-0.7435,2,0,0
18859.37,5,5,1,1093409.98,-0.9828,0,0,0
238272.84,20,2,0,62015.8,2.8421,0,0,0
374495.53,22,4,4,61526.39,5.0867,1,0,0
297095.08,4,0,2,84386.03,2.5206,3,0,0
50671.28,9,4,5,149242.55,-0.6605,1,0,0
264170.13,1,0,3,79716.46,2.3138,0,0,0
307911.01,14,4,5,19071.48,15.1443,2,0,0
43442.56,20,5,3,12203.9,2.5595,0,1,0
3512.66,1,0,4,81483.67,-0.9569,1,0,0
162511.13,21,6,0,12592.87,11.9041,2,0,0
22451.76,13,1,4,56832.89,-0.6049,2,1,0
37940.89,7,5,2,150010.21,-0.7471,2,0,0
548782.88,14,2,1,34550.71,14.883,3,0,0
8858.74,15,4,1,53623.99,-0.8348,2,0,0
69756.22,2,0,4,92199.67,-0.2434,1,0,0
19662.86,8,0,4,149196.27,-0.8682,3,0,0
7323.42,4,5,0,46785.41,-0.8434,0,0,0
228922.27,8,4,3,154892.46,0.4779,1,0,0
37801.7,21,5,3,35583.38,0.0623,1,0,0
30708.99,15,2,3,31146.39,-0.014,1,0,0
159862.7,4,6,2,166718.03,-0.0411,2,0,0
278578.37,8,1,2,22624.16,11.3128,5,0,0
80763.53,12,6,4,106391.07,-0.2409,1,0,0
11588.86,8,0,3,36866.71,-0.6856,1,0,0
6770.99,2,4,1,361355.63,-0.9813,0,0,0
34045.35,13,6,4,290779.51,-0.8829,3,0,0
7332.01,23,6,5,59027.48,-0.8758,1,0,0
3025.43,21,0,2,151548.46,-0.98,2,1,0
71440.45,23,0,2,122548.95,-0.417,2,0,0
8283.87,5,3,2,554352.17,-0.9851,0,0,0
613474.25,7,0,2,27094.44,21.6413,3,0,0
5485.98,1,6,3,21419.32,-0.7438,3,0,0
40691.97,17,6,1,65610.2,-0.3798,0,0,0
1785818.78,8,6,2,20228.1,87.2797,0,0,0
145682.87,15,6,4,17105.8,7.5161,4,0,0
94884.89,13,4,0,88317.86,0.0744,1,0,0
21029.47,12,1,4,30767.73,-0.3165,1,0,0
136009.03,4,1,2,144950.89,-0.0617,2,0,0
772953.77,21,4,10,30855.82,24.0497,1,0,1
4752.11,1,0,2,121278.99,-0.9608,0,0,0
97161.69,20,2,2,60142.57,0.6155,0,0,0
25496.95,7,4,2,56676.1,-0.5501,1,0,0
126174.75,19,2,3,24285.56,4.1953,2,0,0
14125.21,18,2,3,168840.65,-0.9163,3,0,0
184893.06,21,3,3,65264.26,1.833,0,0,0
132554.47,16,0,4,21862.39,5.0629,2,1,0
22655.14,11,2,2,4562.77,3.9643,0,0,0
39853.5,9,4,4,14074.85,1.8314,1,0,0
2533410.21,17,6,7,62137.27,39.7705,2,1,0
105882.91,13,3,7,84856.55,0.2478,2,0,0
75281.69,6,0,6,33295.13,1.261,0,0,0
197893.39,4,5,4,71379.8,1.7724,1,1,0
41726.99,23,0,3,69894.17,-0.403,2,0,0
16226.91,9,0,5,39938.54,-0.5937,1,0,0
27065.42,9,6,2,95270.09,-0.7159,2,0,0
15928.64,11,6,4,46251.24,-0.6556,2,0,0
6156.64,12,6,3,100396.58,-0.9387,1,0,0
291826.81,16,3,5,126919.09,1.2993,3,1,0
470308.83,17,0,2,178326.72,1.6373,3,0,0
765799.34,1,2,6,54952.88,12.9353,2,0,0
120395.93,3,5,3,65830.27,0.8289,1,0,0
20920.71,0,6,4,190190.62,-0.89,3,0,0
423211.72,0,5,2,14933.09,27.3387,0,0,0
1809864.23,17,5,1,26252.65,67.9377,0,0,0
210212.64,2,2,0,138527.89,0.5175,2,0,0
334970.68,3,5,2,57929.6,4.7823,1,0,0
7012.36,9,4,4,50126.33,-0.8601,1,0,0
41917.13,12,4,5,56385.26,-0.2566,1,0,0
164909.1,19,6,1,34487.22,3.7816,0,0,0
12931.41,23,1,1,57600.8,-0.7755,3,1,0
47002.72,9,5,3,287099.86,-0.8363,1,0,0
59682.8,16,1,0,243100.4,-0.7545,1,0,0
98094.22,11,1,2,93892.77,0.0447,2,0,0
70195.36,6,4,7,39036.57,0.7982,0,0,0
73458.16,13,2,2,131661.68,-0.4421,1,1,0
200898.47,5,1,2,38791.14,4.1789,3,1,0
9010.08,9,5,4,384901.96,-0.9766,1,0,0
10820.71,17,3,3,89510.17,-0.8791,1,0,0
31411.33,10,0,6,105848.2,-0.7032,2,0,0
73693.65,15,1,4,14073.15,4.2362,2,0,0
27959.17,6,5,4,13878.75,1.0145,2,0,0
33134.39,6,5,2,121857.47,-0.7281,2,0,0
449128.84,7,0,1,26107.9,16.2022,1,0,0
90152.29,20,3,5,57019.32,0.5811,3,0,0
85554.53,0,4,1,35797.69,1.3899,2,0,0
29003.01,4,5,1,17184.58,0.6877,3,0,0
17442.39,22,2,3,47436.81,-0.6323,1,0,0
12962.08,4,0,3,40950.65,-0.6835,1,0,0
127649.74,1,3,3,290805.69,-0.561,0,0,0
152421.22,10,2,1,32193.32,3.7344,1,0,0
236264.32,0,2,2,24647.19,8.5855,1,0,1
43461.86,17,4,5,166305.01,-0.7387,2,1,0
180285.18,12,3,2,197836.99,-0.0887,1,0,0
56031.58,11,5,2,326571.35,-0.8284,1,0,0
8658.73,17,0,1,184264.1,-0.953,2,0,0
98062.05,23,3,1,1547641.99,-0.9366,0,0,0
223759.46,21,4,1,1529676.26,-0.8537,3,0,0
218280.26,13,0,2,26150.84,7.3467,1,0,0
308591.59,5,1,6,16114.37,18.149,2,0,0
323297.49,11,6,7,34406.74,8.3961,3,0,0
322418.62,15,3,4,229988.18,0.4019,0,0,0
34341.07,18,0,5,186754.01,-0.8161,0,0,0
71093.14,6,2,2,17629.66,3.0324,1,1,0
4218.83,12,3,5,91357.47,-0.9538,0,1,0
4920.66,18,4,3,14712.07,-0.6655,0,0,0
199531.25,6,3,6,35003.73,4.7002,1,0,0
258731.27,15,0,3,24780.16,9.4407,2,0,0
95269.59,3,2,4,135232.22,-0.2955,1,1,0
23559.11,3,3,2,7854.03,1.9994,1,0,0
10203.5,22,6,5,67765.52,-0.8494,1,0,0
10076.31,12,0,3,74696.62,-0.8651,0,0,0
556510.19,13,1,1,37802.28,13.7212,2,0,0
654565.69,13,5,4,44871.15,13.5874,0,1,0
95740.49,5,5,5,22153.53,3.3215,0,0,0
97708.02,9,0,2,22193.01,3.4025,3,0,1
5988.96,11,6,5,62709.41,-0.9045,1,0,0
26275.28,20,0,5,21306.59,0.2332,0,0,0
10723.06,9,3,4,108340.55,-0.901,2,0,0
954771.95,16,6,2,159231.47,4.9961,1,0,0
387760.87,4,5,2,181217.14,1.1398,1,0,0
4996.25,17,4,2,125452.73,-0.9602,1,0,0
8281.7,21,1,3,80702.75,-0.8974,1,0,0
61989.22,11,0,5,223350.34,-0.7225,2,0,0
33153.77,21,3,1,280887.81,-0.882,1,0,0
16470.83,5,4,5,51506.9,-0.6802,3,0,0
400077.81,8,4,2,29073.19,12.7606,0,1,0
1473697.38,19,6,2,88356.23,15.6789,1,0,0
64989.27,21,6,5,578750.97,-0.8877,1,0,0
150458.67,3,2,5,13752.37,9.9398,0,0,1
1501715.78,9,6,4,53582.21,27.0259,2,0,0
137320.17,20,3,4,30183.89,3.5493,1,1,0
10770.96,13,2,4,10423.83,0.0333,3,0,0
318356.4,3,3,2,311550.53,0.0218,3,0,0
169649.14,8,5,3,15105.99,10.2299,0,0,0
7646.65,0,1,3,48510.54,-0.8424,1,1,0
71046.04,1,6,7,219435.59,-0.6762,4,0,0
23555.82,7,5,2,14244.71,0.6536,2,0,0
620289.69,12,0,7,47822.05,11.9705,0,0,0
418.28,17,0,1,234970.0,-0.9982,2,0,0
202212.14,14,5,8,50483.67,3.0054,2,0,0
371841.86,12,6,3,310939.77,0.1959,3,0,0
9647.31,21,1,3,81513.68,-0.8816,4,0,0
180286.13,4,3,5,321827.52,-0.4398,4,1,0
52758.59,5,1,4,57933.32,-0.0893,0,1,0
275207.71,20,2,1,156850.7,0.7546,3,0,0
16833.49,19,1,3,9450.23,0.7812,0,0,0
85435.03,6,1,5,121233.9,-0.2953,0,0,0
1797040.67,22,5,2,163283.9,10.0056,1,0,0
37513.72,7,0,7,41210.93,-0.0897,4,0,0
7305.94,21,2,2,43230.36,-0.831,0,0,0
145974.63,23,4,3,77108.44,0.8931,2,0,0
17984.64,8,6,2,65493.8,-0.7254,2,0,0
109505.83,22,4,4,67813.11,0.6148,1,0,0
161870.51,18,5,2,46432.17,2.4861,1,0,0
7276.65,3,4,3,24841.14,-0.707,5,1,0
47521.25,13,1,7,15220.11,2.1221,1,0,0
442461.17,9,5,2,51654.39,7.5657,4,0,0
17721.2,19,4,1,11617.99,0.5253,2,0,0
52621.54,7,1,4,712488.15,-0.9261,1,0,0
11076.82,19,4,5,53049.74,-0.7912,1,0,0
182179.39,18,5,2,115996.16,0.5706,2,0,0
21862.65,11,2,3,52421.64,-0.5829,1,0,0
95049.07,14,3,5,518767.92,-0.8168,0,1,0
54207.22,3,2,2,19545.79,1.7733,1,0,0
26707.88,9,1,3,109914.16,-0.757,1,1,0
17426.67,17,1,4,59479.21,-0.707,1,0,0
167458.94,18,1,3,45412.61,2.6874,1,0,0
15446.0,9,0,5,134136.5,-0.8848,2,0,0
64287.93,20,5,0,17182.61,2.7413,2,0,0
26959.13,19,2,3,219720.07,-0.8773,1,0,0
263780.19,4,2,6,91487.41,1.8832,2,0,0
73217.14,7,6,5,29024.95,1.5225,0,0,0
89328.66,4,0,1,16909.36,4.2825,0,0,1
131863.43,12,1,4,20487.54,5.436,0,0,0
31616.53,17,2,1,100310.85,-0.6848,2,0,0
14855.79,3,4,0,179791.69,-0.9174,4,0,0
1589053.01,6,5,3,31139.68,50.0282,2,0,0
472728.81,20,6,2,1167796.01,-0.5952,1,0,0
280211.01,20,0,2,34538.28,7.1129,1,0,0
2274449.34,19,3,2,41943.59,53.2251,0,0,0
1947716.62,3,4,2,148507.7,12.1152,1,0,1
41312.81,10,6,2,107710.24,-0.6164,1,1,0
20009.74,12,2,2,105353.62,-0.8101,3,1,0
36557.47,23,4,4,327923.04,-0.8885,1,0,0
662792.44,13,4,2,569349.13,0.1641,3,0,0
82615.85,16,6,3,38560.51,1.1425,2,0,0
59186.5,12,3,3,8742.04,5.7697,1,0,0
936168.36,2,3,5,3090.83,301.7881,0,0,0
176502.07,17,6,2,109820.42,0.6072,2,0,0
13648.33,9,3,2,93772.56,-0.8544,3,0,0
88240.3,10,0,2,65803.86,0.341,3,0,0
9325.94,8,6,1,38033.0,-0.7548,2,0,0
8098.07,2,5,4,45259.93,-0.8211,2,1,0
5815.94,3,2,2,47339.1,-0.8771,2,0,0
69569.34,17,4,2,30107.28,1.3107,0,0,0
65088.79,21,6,5,104521.53,-0.3773,1,0,0
43021.95,2,1,3,248507.78,-0.8269,1,0,0
110540.66,19,5,2,173788.02,-0.3639,1,0,0
47720.49,13,6,1,222587.31,-0.7856,1,0,0
204232.76,22,5,5,44116.81,3.6293,1,0,0
27518.9,15,4,1,260178.15,-0.8942,2,0,0
296644.56,0,6,3,32663.15,8.0817,1,0,0
19121.81,5,5,4,34408.85,-0.4443,3,0,0
16649.69,19,6,3,223023.58,-0.9253,1,0,0
179888.48,11,6,3,238907.24,-0.247,1,0,0
164117.66,13,5,6,200295.35,-0.1806,5,0,0
68870.35,23,1,4,40603.59,0.6961,0,0,0
45780.07,12,6,0,147061.3,-0.6887,1,0,0
3556.8,15,0,4,37466.13,-0.905,1,0,0
98927.13,7,3,4,45968.13,1.1521,2,0,0
17509.32,19,4,4,30390.09,-0.4238,1,0,0
23790.36,22,1,1,34522.79,-0.3109,1,0,0
14677.92,1,1,4,126637.88,-0.8841,0,0,0
75709.38,1,3,5,70413.25,0.0752,1,0,0
26230.2,20,6,0,27076.28,-0.0312,4,0,0
60756.71,8,5,5,29280.63,1.0749,2,0,0
97416.12,22,6,4,130332.83,-0.2526,1,0,0
12100.58,12,1,4,71066.64,-0.8297,1,0,0
232654.88,15,5,2,45364.87,4.1284,1,0,0
46937.82,13,3,3,48974.0,-0.0416,1,0,0
39957.69,1,0,2,60625.5,-0.3409,0,0,0
4220.64,5,6,6,63999.26,-0.934,3,1,0
187068.57,20,2,3,125550.61,0.49,1,0,0
17246.93,18,4,1,9175.62,0.8796,0,0,0
69855.85,21,6,4,93232.1,-0.2507,0,0,0
79173.12,6,0,1,129961.57,-0.3908,0,0,0
175555.04,1,2,1,72326.28,1.4272,1,1,0
154166.23,8,5,2,335740.62,-0.5408,2,0,0
20731.17,3,6,5,98117.89,-0.7887,7,0,0
6890.01,5,6,3,79756.9,-0.9136,2,0,0
21105.71,21,6,3,84126.53,-0.7491,0,0,0
10717.26,3,2,1,37050.75,-0.7107,1,0,0
78859.83,5,3,4,391417.8,-0.7985,1,0,0
9725.89,23,5,1,127606.19,-0.9238,1,0,0
233422.49,0,0,3,210941.89,0.1066,2,0,0
206364.54,21,0,4,30819.74,5.6957,2,0,0
18621.64,7,0,1,68264.36,-0.7272,0,0,0
30986.26,15,3,1,50868.82,-0.3909,2,0,0
299415.85,19,0,4,44981.62,5.6563,1,0,0
180058.91,1,0,4,32087.87,4.6113,1,0,0
10815.3,22,3,1,52849.55,-0.7953,1,0,0
39288.13,15,3,1,149491.69,-0.7372,3,0,0
35602.21,2,6,2,19683.0,0.8087,1,0,0
45716.05,8,2,1,67396.1,-0.3217,0,0,0
259995.51,19,3,6,85762.69,2.0315,2,0,0
551382.93,4,6,4,62518.48,7.8194,0,0,1
106204.59,21,6,4,8402.96,11.6376,0,0,0
84829.83,4,6,3,17317.29,3.8983,0,0,1
650996.64,6,3,1,60508.39,9.7586,3,1,0
187592.53,10,1,1,94860.66,0.9775,1,0,0
24388.58,1,1,2,20475.52,0.1911,0,0,0
121783.37,13,5,4,73675.61,0.653,2,0,0
76372.05,7,1,2,14566.86,4.2426,2,1,0
100368.56,17,6,5,141144.73,-0.2889,0,0,0
251293.56,7,5,3,50405.29,3.9854,2,1,0
66690.98,1,4,4,27241.02,1.4481,1,0,0
6089.77,16,4,3,111596.28,-0.9454,2,0,0
432361.57,0,3,3,354310.1,0.2203,3,0,0
107444.91,20,4,5,41566.09,1.5849,3,0,0
12745.76,10,4,3,74774.86,-0.8295,0,0,0
232749.65,16,6,3,66334.55,2.5087,1,0,0
146066.7,2,3,3,36157.7,3.0396,6,1,1
95435.01,22,1,4,45566.96,1.0944,2,0,0
5973.25,21,4,3,408283.62,-0.9854,1,0,0
14939.23,16,3,4,41674.95,-0.6415,0,0,0
39695.57,1,3,4,45344.29,-0.1246,1,0,0
104866.69,10,6,5,85588.06,0.2252,2,0,0
156582.54,4,4,2,99615.53,0.5719,1,0,0
5843.1,20,2,4,543854.19,-0.9893,1,0,0
38085.67,4,5,3,87274.9,-0.5636,2,0,0
13936.9,1,6,1,57574.32,-0.7579,1,0,0
55249.96,14,1,5,78614.38,-0.2972,0,0,0
5532.54,1,0,4,92321.63,-0.9401,1,0,0
309461.03,23,6,5,26150.89,10.8333,4,0,0
140150.07,18,5,4,62354.67,1.2476,4,0,0
62350.29,5,5,7,8368.84,6.4495,5,1,0
155103.19,12,6,5,179622.11,-0.1365,1,1,0
295349.22,20,4,2,43684.4,5.7608,3,0,1
53899.96,13,4,4,85675.45,-0.3709,0,0,0
89272.33,22,1,3,77703.88,0.1489,1,1,0
124734.36,20,5,2,145827.33,-0.1446,2,0,0
53077.4,15,3,2,333196.87,-0.8407,0,0,0
14652.23,16,2,10,127047.51,-0.8847,0,0,0
26280.71,14,5,6,9488.36,1.7696,0,0,0
73221.34,15,1,0,41518.1,0.7636,2,1,0
20308.1,3,1,4,55597.15,-0.6347,2,1,0
5887.65,9,4,4,30146.36,-0.8047,2,0,0
63979.83,1,0,1,143862.88,-0.5553,3,0,0
8714.29,21,4,3,73245.01,-0.881,1,0,0
14476.65,14,2,4,37189.82,-0.6107,1,0,0
321347.78,11,2,2,242140.22,0.3271,1,0,0
3429.27,12,5,6,22502.92,-0.8476,2,0,0
1323687.11,17,1,1,37747.69,34.0658,3,0,0
399420.81,1,4,4,110364.98,2.6191,1,0,0
8096.51,11,2,2,21683.64,-0.6266,2,0,0
387513.19,17,5,3,117850.17,2.2882,1,1,0
58985.97,3,4,5,42584.87,0.3851,0,0,0
58780.45,13,1,2,111136.26,-0.4711,3,1,0
133520.23,13,1,3,53359.11,1.5023,2,0,0
117396.56,10,2,2,9708.09,11.0915,4,1,0
134187.6,9,5,5,43835.29,2.0611,1,0,0
36345.92,19,4,2,11330.2,2.2077,0,0,0
132298.3,8,5,3,29840.44,3.4334,2,0,0
214655.24,3,1,3,44173.56,3.8593,1,1,0
144404.75,13,5,5,39123.74,2.6909,4,1,0
75043.43,23,5,7,57426.79,0.3068,0,0,0
314004.11,5,1,2,346657.17,-0.0942,4,0,0
19023.21,3,5,3,19452.02,-0.022,0,0,0
13997.27,0,0,3,7186.3,0.9476,0,0,0
72734.14,0,6,4,75194.28,-0.0327,0,0,0
33551.88,17,0,4,165460.87,-0.7972,1,1,0
128466.76,18,2,2,101043.01,0.2714,0,0,0
142458.96,23,0,2,52631.26,1.7067,1,0,0
18343.24,23,1,3,249226.36,-0.9264,0,1,0
49982.32,4,2,5,90149.31,-0.4456,2,0,0
1204871.56,13,6,4,44255.0,26.2251,1,0,0
20578.91,14,5,2,24261.54,-0.1518,1,0,0
17490.31,11,2,3,14221.93,0.2298,0,0,0
30878.96,21,6,2,74637.27,-0.5863,2,0,0
12549.23,1,6,2,81897.69,-0.8468,3,0,0
46804.62,3,3,3,47667.01,-0.0181,0,0,0
13368.06,5,3,3,17963.57,-0.2558,1,1,0
20402.81,18,1,2,6744.44,2.0248,2,1,0
11259.62,3,6,2,94390.22,-0.8807,2,1,0
17294.23,8,1,6,76628.46,-0.7743,0,0,0
127565.27,21,3,4,43046.27,1.9634,0,0,0
54733.75,11,3,4,216262.62,-0.7469,1,0,0
96919.19,14,3,3,144824.27,-0.3308,0,0,0
1470.6,17,2,2,15185.08,-0.9031,0,0,0
111275.5,2,0,3,44853.53,1.4808,1,0,0
119576.5,16,0,3,74005.35,0.6158,1,1,0
117555.72,5,3,2,535169.88,-0.7803,1,0,0
47580.59,5,5,5,8838.2,4.383,1,0,0
42752.58,21,1,1,256718.92,-0.8335,2,0,0
71507.93,1,3,3,53422.14,0.3385,2,0,0
848516.42,12,4,2,179200.81,3.735,0,1,0
22636.68,3,5,1,92984.41,-0.7565,0,0,0
22383.27,20,3,3,289990.73,-0.9228,1,0,0
242558.59,4,5,2,183375.75,0.3227,1,0,0
10939.92,14,0,3,32834.2,-0.6668,0,0,0
16387.48,17,3,1,72884.18,-0.7751,3,0,0
319834.78,16,3,1,336971.15,-0.0509,3,0,0
8318.96,2,6,1,183118.97,-0.9546,2,0,0
62088.62,21,2,3,10671.18,4.8179,6,0,0
622579.11,18,1,1,289202.21,1.1527,2,0,0
206685.42,9,1,4,19202.41,9.763,0,0,0
40821.46,7,4,2,31781.23,0.2844,1,0,0
336217.42,11,6,2,58700.68,4.7276,0,0,0
28940.59,9,6,0,50328.89,-0.425,1,0,0
1027658.17,19,2,1,74321.73,12.827,2,0,0
75432.7,17,6,2,155514.69,-0.5149,2,0,0
55236.63,10,1,6,5524.76,8.9964,3,0,0
55738.16,8,6,5,162234.33,-0.6564,3,0,0
50950.36,4,0,5,65510.68,-0.2223,1,0,0
2038777.24,13,6,3,91658.51,21.243,1,0,0
87540.55,9,3,7,72514.77,0.2072,0,0,0
9857.93,17,0,1,13223.17,-0.2545,1,0,0
2385.5,4,4,6,182719.5,-0.9869,2,0,0
298976.26,23,5,3,25278.57,10.8268,0,0,0
45841.29,8,4,6,69619.72,-0.3415,1,0,0
12559.44,23,1,5,51464.25,-0.7559,2,1,0
145349.95,7,1,2,328087.57,-0.557,1,0,0
5269.02,23,0,4,92000.79,-0.9427,1,1,0
5613.9,20,5,3,7065.42,-0.2054,1,0,0
913.58,0,1,1,109604.43,-0.9917,1,0,0
45871.13,9,4,4,124455.87,-0.6314,3,0,0
24054.12,3,3,5,20225.49,0.1893,0,1,0
14407.44,14,5,4,60740.62,-0.7628,2,0,0
26546.72,8,4,2,38285.56,-0.3066,2,1,0
57733.4,8,0,1,126451.29,-0.5434,0,0,0
115608.63,22,1,1,23532.98,3.9125,1,0,0
55478.35,13,5,1,68647.06,-0.1918,1,0,0
61882.89,5,3,3,43741.6,0.4147,2,1,0
1537255.0,1,1,1,84096.67,17.2794,0,0,0
17068.94,18,6,1,177963.56,-0.9041,3,1,0
17528.21,8,6,1,15583.05,0.1248,0,0,0
116442.09,13,2,7,165234.56,-0.2953,0,0,0
78065.93,0,4,3,36918.5,1.1145,0,1,0
1159362.19,17,1,5,64797.23,16.8919,1,0,0
137734.77,4,2,3,37113.87,2.7111,1,0,0
8505.3,2,4,4,57710.18,-0.8526,1,1,0
42517.57,7,3,2,62876.4,-0.3238,1,0,0
233823.48,3,1,1,130843.87,0.787,2,0,0
650529.92,9,0,2,53993.26,11.0481,2,0,0
15250.3,2,4,1,11525.79,0.3231,0,0,0
192944.04,13,0,1,226694.34,-0.1489,2,0,0
